_id,start_time_sweden,start_time_utc,bidding_zone,price,price_unit
1232867,2026-06-24T06:00:00,2026-06-24T04:00:00,SE1,102.18,EUR-MWh
1232877,2026-06-24T06:00:00,2026-06-24T04:00:00,SE4,107.96,EUR-MWh
1233334,2026-06-24T06:00:00,2026-06-24T04:00:00,SE3,106.85,EUR-MWh
1233572,2026-06-24T05:45:00,2026-06-24T03:45:00,SE3,104.63,EUR-MWh
1233082,2026-06-24T05:45:00,2026-06-24T03:45:00,SE1,100.13,EUR-MWh
1233569,2026-06-24T05:45:00,2026-06-24T03:45:00,SE2,101.76,EUR-MWh
1233653,2026-06-24T05:45:00,2026-06-24T03:45:00,SE4,105.72,EUR-MWh
1233803,2026-06-24T05:15:00,2026-06-24T03:15:00,SE2,80.02,EUR-MWh
1232475,2026-06-24T05:15:00,2026-06-24T03:15:00,SE1,78.24,EUR-MWh
1233937,2026-06-24T05:15:00,2026-06-24T03:15:00,SE3,83.22,EUR-MWh
1232607,2026-06-24T05:15:00,2026-06-24T03:15:00,SE4,84.47,EUR-MWh
1233360,2026-06-24T05:00:00,2026-06-24T03:00:00,SE1,63.34,EUR-MWh
1232878,2026-06-24T05:00:00,2026-06-24T03:00:00,SE4,70.02,EUR-MWh
1232642,2026-06-24T05:00:00,2026-06-24T03:00:00,SE3,68.66,EUR-MWh
